Packet number,Year,Month,Day,Hours,Minutes,Seconds
30,2000,1,1,0,0,36
129,2000,1,1,0,0,36
228,2000,1,1,0,0,37
327,2000,1,1,0,0,37
426,2000,1,1,0,0,38
525,2000,1,1,0,0,38
624,2000,1,1,0,0,39
723,2000,1,1,0,0,39
822,2000,1,1,0,0,40
921,2000,1,1,0,0,40
1020,2000,1,1,0,0,41
1119,2000,1,1,0,0,41
1218,2000,1,1,0,0,42
1317,2000,1,1,0,0,42
1416,2000,1,1,0,0,43
1515,2000,1,1,0,0,43
1614,2000,1,1,0,0,44
1713,2000,1,1,0,0,44
1812,2000,1,1,0,0,45
1911,2000,1,1,0,0,45
2010,2000,1,1,0,0,46
2109,2000,1,1,0,0,46
2208,2000,1,1,0,0,47
2307,2000,1,1,0,0,47
2406,2000,1,1,0,0,48
2505,2000,1,1,0,0,48
2604,2000,1,1,0,0,49
2703,2000,1,1,0,0,49
2802,2000,1,1,0,0,50
2901,2000,1,1,0,0,50
3000,2000,1,1,0,0,51
3099,2000,1,1,0,0,51
3198,2000,1,1,0,0,52
3297,2000,1,1,0,0,52
3396,2000,1,1,0,0,53
3495,2000,1,1,0,0,53
3594,2000,1,1,0,0,54
3693,2000,1,1,0,0,54
3792,2000,1,1,0,0,55
3891,2000,1,1,0,0,55
3990,2000,1,1,0,0,56
4089,2000,1,1,0,0,56
4188,2000,1,1,0,0,57
4287,2000,1,1,0,0,57
4386,2000,1,1,0,0,58
4485,2000,1,1,0,0,58
4570,2000,1,1,0,1,2
4669,2000,1,1,0,1,2
4768,2000,1,1,0,1,3
4867,2000,1,1,0,1,3
4966,2000,1,1,0,1,4
5129,2000,1,1,0,1,9
5228,2000,1,1,0,1,10
5327,2000,1,1,0,1,10
5426,2000,1,1,0,1,11
5525,2000,1,1,0,1,11
5624,2000,1,1,0,1,12
5723,2000,1,1,0,1,12
5822,2000,1,1,0,1,13
5921,2000,1,1,0,1,13
6020,2000,1,1,0,1,14
6119,2000,1,1,0,1,14
6218,2000,1,1,0,1,15
6317,2000,1,1,0,1,15
6416,2000,1,1,0,1,16
6515,2000,1,1,0,1,16
6614,2000,1,1,0,1,17
6713,2000,1,1,0,1,17
6812,2000,1,1,0,1,18
6911,2000,1,1,0,1,18
7010,2000,1,1,0,1,19
7109,2000,1,1,0,1,19
7208,2000,1,1,0,1,20
7307,2000,1,1,0,1,20
7406,2000,1,1,0,1,21
7505,2000,1,1,0,1,21
7604,2000,1,1,0,1,22
7703,2000,1,1,0,1,22
7802,2000,1,1,0,1,23
7901,2000,1,1,0,1,23
8000,2000,1,1,0,1,24
8099,2000,1,1,0,1,24
8198,2000,1,1,0,1,25
8297,2000,1,1,0,1,25
8396,2000,1,1,0,1,26
8495,2000,1,1,0,1,26
8594,2000,1,1,0,1,27
8693,2000,1,1,0,1,27
8792,2000,1,1,0,1,28
8891,2000,1,1,0,1,28
8990,2000,1,1,0,1,29
9089,2000,1,1,0,1,29
9188,2000,1,1,0,1,30
9287,2000,1,1,0,1,30
9386,2000,1,1,0,1,31
9485,2000,1,1,0,1,31
9584,2000,1,1,0,1,32
9683,2000,1,1,0,1,32
9782,2000,1,1,0,1,33
9881,2000,1,1,0,1,33
9980,2000,1,1,0,1,34
10079,2000,1,1,0,1,34
10178,2000,1,1,0,1,35
10277,2000,1,1,0,1,35
10376,2000,1,1,0,1,36
10475,2000,1,1,0,1,36
10574,2000,1,1,0,1,37
10673,2000,1,1,0,1,37
10772,2000,1,1,0,1,38
10871,2000,1,1,0,1,38
10970,2000,1,1,0,1,39
11069,2000,1,1,0,1,39
11168,2000,1,1,0,1,40
11267,2000,1,1,0,1,40
11366,2000,1,1,0,1,41
11465,2000,1,1,0,1,41
11564,2000,1,1,0,1,42
11663,2000,1,1,0,1,42
11762,2000,1,1,0,1,43
11848,2000,1,1,0,1,43
11947,2000,1,1,0,1,44
12046,2000,1,1,0,1,44
12139,2000,1,1,0,1,45
12238,2000,1,1,0,1,46
12337,2000,1,1,0,1,46
12461,2000,1,1,0,1,50
12560,2000,1,1,0,1,50
12659,2000,1,1,0,1,51
12758,2000,1,1,0,1,51
12857,2000,1,1,0,1,52
12956,2000,1,1,0,1,52
13055,2000,1,1,0,1,53
13154,2000,1,1,0,1,53
13253,2000,1,1,0,1,54
13352,2000,1,1,0,1,54
13451,2000,1,1,0,1,55
13550,2000,1,1,0,1,55
13649,2000,1,1,0,1,56
13748,2000,1,1,0,1,56
13847,2000,1,1,0,1,57
13946,2000,1,1,0,1,57
14045,2000,1,1,0,1,58
14144,2000,1,1,0,1,58
14243,2000,1,1,0,1,59
14342,2000,1,1,0,1,59
14441,2000,1,1,0,2,0
14540,2000,1,1,0,2,0
14639,2000,1,1,0,2,1
14738,2000,1,1,0,2,1
14837,2000,1,1,0,2,2
14936,2000,1,1,0,2,2
15035,2000,1,1,0,2,3
15134,2000,1,1,0,2,3
15233,2000,1,1,0,2,4
15332,2000,1,1,0,2,4
15431,2000,1,1,0,2,5
15530,2000,1,1,0,2,5
15629,2000,1,1,0,2,6
15728,2000,1,1,0,2,6
15827,2000,1,1,0,2,7
15926,2000,1,1,0,2,7
16025,2000,1,1,0,2,8
16124,2000,1,1,0,2,8
16223,2000,1,1,0,2,9
16322,2000,1,1,0,2,9
16421,2000,1,1,0,2,10
16520,2000,1,1,0,2,10
16619,2000,1,1,0,2,11
16718,2000,1,1,0,2,11
16817,2000,1,1,0,2,12
16916,2000,1,1,0,2,12
17015,2000,1,1,0,2,13
17114,2000,1,1,0,2,13
17213,2000,1,1,0,2,14
17312,2000,1,1,0,2,14
17411,2000,1,1,0,2,15
17510,2000,1,1,0,2,15
17609,2000,1,1,0,2,16
17708,2000,1,1,0,2,16
17807,2000,1,1,0,2,17
17906,2000,1,1,0,2,17
18005,2000,1,1,0,2,18
18104,2000,1,1,0,2,18
18203,2000,1,1,0,2,19
18302,2000,1,1,0,2,19
18401,2000,1,1,0,2,20
18500,2000,1,1,0,2,20
18599,2000,1,1,0,2,21
18698,2000,1,1,0,2,21
18797,2000,1,1,0,2,22
18896,2000,1,1,0,2,22
18995,2000,1,1,0,2,23
19094,2000,1,1,0,2,23
19193,2000,1,1,0,2,24
19292,2000,1,1,0,2,24
19391,2000,1,1,0,2,25
19490,2000,1,1,0,2,25
19589,2000,1,1,0,2,26
19688,2000,1,1,0,2,26
19787,2000,1,1,0,2,27
19886,2000,1,1,0,2,27
19985,2000,1,1,0,2,28
20084,2000,1,1,0,2,28
20183,2000,1,1,0,2,29
20282,2000,1,1,0,2,29
20381,2000,1,1,0,2,30
20480,2000,1,1,0,2,30
20579,2000,1,1,0,2,31
20678,2000,1,1,0,2,31
20777,2000,1,1,0,2,32
20876,2000,1,1,0,2,32
20975,2000,1,1,0,2,33
21074,2000,1,1,0,2,33
21173,2000,1,1,0,2,34
21272,2000,1,1,0,2,34
21371,2000,1,1,0,2,35
21470,2000,1,1,0,2,35
21569,2000,1,1,0,2,36
21668,2000,1,1,0,2,36
21767,2000,1,1,0,2,37
21866,2000,1,1,0,2,37
21965,2000,1,1,0,2,38
22064,2000,1,1,0,2,38
22163,2000,1,1,0,2,39
22262,2000,1,1,0,2,39
22361,2000,1,1,0,2,40
22460,2000,1,1,0,2,40
22559,2000,1,1,0,2,41
22658,2000,1,1,0,2,41
22757,2000,1,1,0,2,42
22856,2000,1,1,0,2,42
22955,2000,1,1,0,2,43
23054,2000,1,1,0,2,43
23153,2000,1,1,0,2,44
23252,2000,1,1,0,2,44
23351,2000,1,1,0,2,45
23450,2000,1,1,0,2,45
23549,2000,1,1,0,2,46
23648,2000,1,1,0,2,46
23747,2000,1,1,0,2,47
23846,2000,1,1,0,2,47
23945,2000,1,1,0,2,48
24044,2000,1,1,0,2,48
24143,2000,1,1,0,2,49
24242,2000,1,1,0,2,49
24341,2000,1,1,0,2,50
24440,2000,1,1,0,2,50
24539,2000,1,1,0,2,51
24638,2000,1,1,0,2,51
24737,2000,1,1,0,2,52
24836,2000,1,1,0,2,52
24935,2000,1,1,0,2,53
25034,2000,1,1,0,2,53
25133,2000,1,1,0,2,54
25232,2000,1,1,0,2,54
25331,2000,1,1,0,2,55
25430,2000,1,1,0,2,55
25529,2000,1,1,0,2,56
25628,2000,1,1,0,2,56
25727,2000,1,1,0,2,57
25826,2000,1,1,0,2,57
25925,2000,1,1,0,2,58
26024,2000,1,1,0,2,58
26123,2000,1,1,0,2,59
26222,2000,1,1,0,2,59
26321,2000,1,1,0,3,0
26420,2000,1,1,0,3,0
26519,2000,1,1,0,3,1
26618,2000,1,1,0,3,1
26717,2000,1,1,0,3,2
26816,2000,1,1,0,3,2
269